Temp,Rep,Time (weeks),No. of individual survived,Mortality,Metamorphosis-GS 42 (values are number of individuals),Odema,Tail_kink
18,1,1,25,0,0,0,0
18,1,2,25,0,0,0,0
18,1,3,25,0,0,0,0
18,1,4,25,0,0,0,0
18,1,5,25,0,0,0,0
18,1,6,25,0,0,0,0
18,1,7,25,0,0,0,0
18,1,8,25,0,0,0,0
18,1,9,25,0,0,0,0
18,1,10,25,0,0,0,0
18,1,11,25,0,0,0,0
18,1,12,25,0,0,0,0
18,1,13,25,0,0,0,0
18,1,14,25,0,0,0,0
18,1,15,25,0,6,0,0
18,1,16,25,0,9,0,0
18,1,17,25,0,8,0,0
18,1,18,25,0,2,0,0
18,1,19,25,0,0,0,0
18,1,20,25,0,0,0,0
18,1,21,25,0,0,0,0
18,2,1,25,0,0,0,0
18,2,2,25,0,0,0,0
18,2,3,25,0,0,0,0
18,2,4,25,0,0,0,0
18,2,5,25,0,0,0,0
18,2,6,25,0,0,0,0
18,2,7,25,0,0,0,0
18,2,8,25,0,0,0,0
18,2,9,25,0,0,0,0
18,2,10,25,0,0,0,0
18,2,11,25,0,0,0,0
18,2,12,25,0,0,0,0
18,2,13,25,0,0,0,0
18,2,14,25,0,0,0,0
18,2,15,25,0,9,0,0
18,2,16,25,0,4,0,0
18,2,17,25,0,7,0,0
18,2,18,25,0,5,0,0
18,2,19,25,0,0,0,0
18,2,20,25,0,0,0,0
18,2,21,25,0,0,0,0
18,3,1,25,0,0,0,0
18,3,2,25,0,0,0,0
18,3,3,25,0,0,0,0
18,3,4,25,0,0,0,0
18,3,5,25,0,0,0,0
18,3,6,25,0,0,0,0
18,3,7,25,0,0,0,0
18,3,8,25,0,0,0,0
18,3,9,25,0,0,0,0
18,3,10,25,0,0,0,0
18,3,11,25,0,0,0,0
18,3,12,25,0,0,0,0
18,3,13,25,0,0,0,0
18,3,14,25,0,0,0,0
18,3,15,25,0,0,0,0
18,3,16,25,0,0,0,0
18,3,17,25,0,0,0,0
18,3,18,25,0,0,0,0
18,3,19,25,0,0,0,0
18,3,20,25,0,0,0,0
18,3,21,25,0,0,0,0
18,4,1,25,0,0,0,0
18,4,2,25,0,0,0,0
18,4,3,25,0,0,0,0
18,4,4,25,0,0,0,0
18,4,5,25,0,0,0,0
18,4,6,25,0,0,0,0
18,4,7,25,0,0,0,0
18,4,8,25,0,0,0,0
18,4,9,25,0,0,0,0
18,4,10,25,0,0,0,0
18,4,11,25,0,0,0,0
18,4,12,25,0,0,0,0
18,4,13,25,0,0,0,0
18,4,14,25,0,0,0,0
18,4,15,25,0,7,0,0
18,4,16,25,0,11,0,0
18,4,17,25,0,7,0,0
18,4,18,25,0,0,0,0
18,4,19,25,0,0,0,0
18,4,20,25,0,0,0,0
18,4,21,25,0,0,0,0
22,1,1,25,0,0,0,0
22,1,2,25,0,0,0,0
22,1,3,25,0,0,0,0
22,1,4,25,0,0,0,0
22,1,5,25,0,0,0,0
22,1,6,25,0,0,0,0
22,1,7,25,0,0,0,0
22,1,8,25,0,0,0,0
22,1,9,25,0,0,0,0
22,1,10,25,0,0,0,0
22,1,11,25,0,0,0,0
22,1,12,25,0,0,0,0
22,1,13,25,0,0,0,0
22,1,14,25,0,0,0,0
22,1,15,25,0,9,0,0
22,1,16,25,0,6,0,0
22,1,17,25,0,6,0,0
22,1,18,25,0,4,0,0
22,1,19,25,0,0,0,0
22,1,20,25,0,0,0,0
22,1,21,25,0,0,0,0
22,2,1,25,0,0,0,0
22,2,2,25,0,0,0,0
22,2,3,25,0,0,0,0
22,2,4,25,0,0,0,0
22,2,5,25,0,0,0,0
22,2,6,25,0,0,0,0
22,2,7,25,0,0,0,0
22,2,8,25,0,0,0,0
22,2,9,25,0,0,0,0
22,2,10,25,0,0,0,0
22,2,11,25,0,0,0,0
22,2,12,25,0,0,0,0
22,2,13,25,0,0,0,0
22,2,14,25,0,0,0,0
22,2,15,25,0,3,0,0
22,2,16,25,0,10,0,0
22,2,17,25,0,7,0,0
22,2,18,25,0,5,0,0
22,2,19,25,0,0,0,0
22,2,20,25,0,0,0,0
22,2,21,25,0,0,0,0
22,3,1,25,0,0,0,0
22,3,2,25,0,0,0,0
22,3,3,25,0,0,0,0
22,3,4,25,0,0,0,0
22,3,5,25,0,0,0,0
22,3,6,25,0,0,0,0
22,3,7,25,0,0,0,0
22,3,8,25,0,0,0,0
22,3,9,25,0,0,0,0
22,3,10,25,0,0,0,0
22,3,11,25,0,0,0,0
22,3,12,25,0,0,0,0
22,3,13,25,0,0,0,0
22,3,14,25,0,0,0,0
22,3,15,25,0,4,0,0
22,3,16,25,0,8,0,0
22,3,17,25,0,5,0,0
22,3,18,25,0,8,0,0
22,3,19,25,0,0,0,0
22,3,20,25,0,0,0,0
22,3,21,25,0,0,0,0
22,4,1,25,0,0,0,0
22,4,2,25,0,0,0,0
22,4,3,25,0,0,0,0
22,4,4,25,0,0,0,0
22,4,5,25,0,0,0,0
22,4,6,25,0,0,0,0
22,4,7,25,0,0,0,0
22,4,8,25,0,0,0,0
22,4,9,25,0,0,0,0
22,4,10,25,0,0,0,0
22,4,11,25,0,0,0,0
22,4,12,25,0,0,0,0
22,4,13,25,0,0,0,0
22,4,14,25,0,0,0,0
22,4,15,25,0,7,0,0
22,4,16,25,0,5,0,0
22,4,17,25,0,8,0,0
22,4,18,25,0,5,0,0
22,4,19,25,0,0,0,0
22,4,20,25,0,0,0,0
22,4,21,25,0,0,0,0
24,1,1,25,0,0,0,0
24,1,2,25,0,0,0,0
24,1,3,25,0,0,0,0
24,1,4,25,0,0,0,0
24,1,5,25,0,0,0,0
24,1,6,25,0,0,0,0
24,1,7,25,0,0,0,0
24,1,8,25,0,0,0,0
24,1,9,25,0,0,0,0
24,1,10,25,0,0,0,0
24,1,11,25,0,0,0,0
24,1,12,25,0,0,0,0
24,1,13,25,0,0,0,0
24,1,14,25,0,0,0,0
24,1,15,25,0,5,0,0
24,1,16,25,0,8,0,0
24,1,17,25,0,7,0,0
24,1,18,25,0,5,0,0
24,1,19,25,0,0,0,0
24,1,20,25,0,0,0,0
24,1,21,25,0,0,0,0
24,2,1,25,0,0,0,0
24,2,2,25,0,0,0,0
24,2,3,25,0,0,0,0
24,2,4,25,0,0,0,0
24,2,5,25,0,0,0,0
24,2,6,25,0,0,0,0
24,2,7,25,0,0,0,0
24,2,8,25,0,0,0,0
24,2,9,25,0,0,0,0
24,2,10,25,0,0,0,0
24,2,11,25,0,0,0,0
24,2,12,25,0,0,0,0
24,2,13,25,0,0,0,0
24,2,14,25,0,2,0,0
24,2,15,25,0,4,0,0
24,2,16,25,0,5,0,0
24,2,17,25,1,4,0,0
24,2,18,24,0,9,0,0
24,2,19,24,0,0,0,0
24,2,20,24,0,0,0,0
24,2,21,24,0,0,0,0
24,3,1,25,1,0,0,0
24,3,2,24,1,0,0,0
24,3,3,23,0,0,0,0
24,3,4,23,0,0,0,0
24,3,5,23,0,0,0,0
24,3,6,23,0,0,0,0
24,3,7,23,0,0,0,0
24,3,8,23,0,0,0,0
24,3,9,23,0,0,0,0
24,3,10,23,0,0,0,0
24,3,11,23,0,0,0,0
24,3,12,23,0,0,0,0
24,3,13,23,0,0,0,0
24,3,14,23,0,3,0,0
24,3,15,23,0,3,0,0
24,3,16,23,0,9,0,0
24,3,17,23,0,4,0,0
24,3,18,23,0,4,0,0
24,3,19,23,0,0,0,0
24,3,20,23,0,0,0,0
24,3,21,23,0,0,0,0
24,4,1,25,0,0,0,0
24,4,2,25,0,0,0,0
24,4,3,24,1,0,0,0
24,4,4,24,0,0,0,0
24,4,5,24,0,0,0,0
24,4,6,24,0,0,0,0
24,4,7,24,0,0,0,0
24,4,8,24,0,0,0,0
24,4,9,24,0,0,0,0
24,4,10,24,0,0,0,0
24,4,11,24,0,0,0,0
24,4,12,24,0,0,0,0
24,4,13,24,0,0,0,0
24,4,14,24,0,2,0,0
24,4,15,24,0,4,0,0
24,4,16,24,0,7,0,0
24,4,17,24,0,3,0,0
24,4,18,24,0,8,0,0
24,4,19,24,0,0,0,0
24,4,20,24,0,0,0,0
24,4,21,24,0,0,0,0
26,1,1,23,2,0,0,0
26,1,2,20,3,0,0,0
26,1,3,19,1,0,0,0
26,1,4,19,0,0,0,0
26,1,5,19,0,0,0,0
26,1,6,19,0,0,0,0
26,1,7,19,0,0,0,0
26,1,8,19,0,0,0,0
26,1,9,19,0,0,0,0
26,1,10,19,0,0,0,0
26,1,11,19,0,0,0,0
26,1,12,19,0,0,0,0
26,1,13,19,0,1,1,0
26,1,14,17,1,3,0,0
26,1,15,16,1,6,0,0
26,1,16,16,0,4,0,1
26,1,17,16,0,3,0,0
26,1,18,16,0,0,0,0
26,1,19,16,0,0,0,0
26,1,20,16,0,0,0,0
26,1,21,16,0,0,0,0
26,2,1,23,2,0,0,0
26,2,2,21,2,0,0,0
26,2,3,21,0,0,0,0
26,2,4,21,0,0,0,0
26,2,5,20,1,0,0,0
26,2,6,19,1,0,0,0
26,2,7,19,0,0,0,0
26,2,8,19,0,0,0,0
26,2,9,19,0,0,0,1
26,2,10,19,0,0,0,0
26,2,11,19,0,0,0,0
26,2,12,19,0,0,0,1
26,2,13,19,0,3,0,0
26,2,14,19,0,1,0,0
26,2,15,19,0,8,0,1
26,2,16,18,1,4,0,1
26,2,17,18,0,2,0,0
26,2,18,18,0,0,0,0
26,2,19,18,0,0,0,0
26,2,20,18,0,0,0,0
26,2,21,18,0,0,0,0
26,3,1,22,3,0,0,0
26,3,2,21,1,0,0,0
26,3,3,21,0,0,0,0
26,3,4,21,0,0,0,0
26,3,5,21,0,0,0,0
26,3,6,21,0,0,0,0
26,3,7,21,0,0,0,0
26,3,8,21,0,0,0,0
26,3,9,21,0,0,0,0
26,3,10,21,0,0,1,2
26,3,11,21,0,0,0,0
26,3,12,21,0,0,1,1
26,3,13,21,0,0,1,0
26,3,14,20,1,4,0,0
26,3,15,19,1,9,0,0
26,3,16,19,0,3,0,0
26,3,17,19,0,3,0,0
26,3,18,19,0,0,0,0
26,3,19,19,0,0,0,0
26,3,20,19,0,0,0,0
26,3,21,19,0,0,0,0
26,4,1,24,1,0,0,0
26,4,2,24,0,0,0,0
26,4,3,24,0,0,0,0
26,4,4,24,0,0,0,0
26,4,5,23,1,0,0,0
26,4,6,22,1,0,0,0
26,4,7,22,0,0,0,0
26,4,8,22,0,0,0,0
26,4,9,22,0,0,0,0
26,4,10,22,0,0,0,1
26,4,11,22,0,0,1,0
26,4,12,22,0,0,0,0
26,4,13,22,0,0,0,0
26,4,14,21,1,3,0,1
26,4,15,16,5,7,0,0
26,4,16,16,0,3,1,0
26,4,17,16,0,3,0,0
26,4,18,16,0,0,0,0
26,4,19,16,0,0,0,0
26,4,20,16,0,0,0,0
26,4,21,16,0,0,0,0
28,1,1,21,4,0,0,0
28,1,2,20,1,0,0,0
28,1,3,19,1,0,0,0
28,1,4,19,0,0,0,0
28,1,5,19,0,0,0,0
28,1,6,18,1,0,0,0
28,1,7,18,0,0,0,0
28,1,8,18,0,0,0,0
28,1,9,18,0,0,2,0
28,1,10,18,0,0,1,2
28,1,11,18,0,0,1,0
28,1,12,18,0,0,0,0
28,1,13,18,0,3,0,0
28,1,14,17,1,6,0,0
28,1,15,17,0,3,0,0
28,1,16,15,2,2,0,0
28,1,17,16,0,0,0,0
28,1,18,15,1,0,0,0
28,1,19,16,0,0,0,0
28,1,20,16,0,0,0,0
28,1,21,16,0,0,0,0
28,2,1,19,6,0,0,0
28,2,2,18,1,0,0,0
28,2,3,17,1,0,0,0
28,2,4,17,0,0,0,0
28,2,5,17,0,0,0,0
28,2,6,17,0,0,0,0
28,2,7,17,0,0,0,0
28,2,8,17,0,0,0,0
28,2,9,17,0,0,0,0
28,2,10,17,0,0,1,0
28,2,11,17,0,0,2,0
28,2,12,16,1,2,0,1
28,2,13,16,0,2,0,1
28,2,14,16,0,5,0,1
28,2,15,15,1,3,0,0
28,2,16,12,2,0,0,0
28,2,17,13,0,0,0,0
28,2,18,12,1,0,0,0
28,2,19,12,0,0,0,0
28,2,20,12,0,0,0,0
28,2,21,12,0,0,0,0
28,3,1,19,5,0,0,0
28,3,2,17,2,0,0,0
28,3,3,17,0,0,0,0
28,3,4,17,0,0,0,0
28,3,5,16,1,0,0,0
28,3,6,16,0,0,0,0
28,3,7,16,0,0,0,0
28,3,8,16,0,0,0,0
28,3,9,16,0,0,0,0
28,3,10,16,0,0,1,2
28,3,11,16,0,0,2,0
28,3,12,16,0,1,1,0
28,3,13,16,0,1,0,1
28,3,14,15,1,8,0,0
28,3,15,14,1,2,1,0
28,3,16,13,1,0,0,0
28,3,17,13,0,0,0,0
28,3,18,12,1,0,0,0
28,3,19,12,0,0,0,0
28,3,20,12,0,0,0,0
28,3,21,12,0,0,0,0
28,4,1,20,6,0,0,0
28,4,2,17,3,0,0,0
28,4,3,17,0,0,0,0
28,4,4,17,0,0,0,0
28,4,5,17,0,0,0,0
28,4,6,17,0,0,0,0
28,4,7,17,0,0,0,0
28,4,8,17,0,0,0,0
28,4,9,17,0,0,0,0
28,4,10,17,0,0,0,0
28,4,11,17,0,0,2,0
28,4,12,15,2,0,1,1
28,4,13,15,0,3,1,1
28,4,14,15,0,4,0,0
28,4,15,14,1,4,0,0
28,4,16,13,1,1,0,0
28,4,17,13,0,0,0,0
28,4,18,12,1,0,0,0
28,4,19,12,0,0,0,0
28,4,20,12,0,0,0,0
28,4,21,12,0,0,0,0
